Week, Sales,Weekday_Contract,Weekend_Contract,Conference_Weekday,Conference_Weekend,Groups_Weekday,Groups_Weekend,Weekday_Standard_Rooms,Weekend_Standard_Rooms,Weekday_Executive,Weekend_Executive,Weekday_Suites,Weekend_Suites,Events_Weekday,Events_Weekend,Meal_Weekday,Meal_Weekend,Liquor,Indicators,Staff_Turnover_annual_percent,Heads_of_Dept,Accommodation,Food_Bev,Reception,Conf_Banq,Other_Staff,Av._weekly_training_exp.,Market_Share_percent,Market_Image_index,Public_Awareness_index,Hotel_Quality,Relative_price,Ext._meal_sales,Ext._liquor_sales,Food_and_Bev._revenue,Revenue,WD_room_avail.,WE_room_avail.,WD_Trans._rev.,WE_Trans_rev.,Contract_rev.,Conf._rev.,Tours_rev.,WD_room._rev.,No_Shows,Exec_Rooms,Suites,WD_Exec_rev,WE_Exec_rev,WD_Suite_Rev,WE_Suite_Rev,Exec_in_Hotel,Suites_in_Hotel,actXavail,actSavail,Luxury_Level,Leisure_Club_Members,Total_rooms_sold,WD_Room_Occup.,WE_Room_Occup.,Guest_Occupancy_percent,WD_Guest_Occup.,WE_Guest_Occup.,Average_room_rate,Av._WD_Rate,Av._WE_Rate,REVPAR,External_meal_sales_percent,External_liquor_sales_percent,Rooms_Revenue,Room_Occupancy_percent,ADR_Contract,ADR_Conf,ADR_Tours,REVPAR_Weekday,REVPAR_Weekend,REVPAR_Contract,REVPAR_Conf,REVPAR_Tours,GOPAR
1,,0,0,0,0,13,22,166,68,0,0,0,0,0,0,195,94,781,,0,0,0,0,0,0,0,10.15,8.11,84.49,43.66,17.78,95.14,89,65,15679,41653,125,864,18258,6158,0,0,1775,18927,2,0,0,0,0,0,0,0,0,0,0,0,0,269,35.8,24,17.37,19.2,14.93,97.36,109.99,90.56,29.93,30.8,8.32,26191,30.74,0,0,50.71,36.52,16.42,0,0,2.03,0
2,,0,0,0,0,14,13,283,101,0,0,0,0,0,0,279,104,1022,,192.59,0,0,742.86,0,0,0,10.15,9.36,93.93,46.31,17.14,95.66,66,46,20226,63312,125,875,32608,9510,0,0,1430,33329,9,0,0,0,0,0,0,0,0,0,0,0,0,411,59.4,30.4,25.03,31.1,16.93,105.96,115.22,94.16,49.77,17.23,4.5,43548,46.97,0,0,52.96,65.22,25.36,0,0,1.63,0
3,,0,0,0,0,9,11,300,110,0,0,0,0,0,0,301,116,1104,,0,0,0,0,0,0,0,10.15,9.96,93.63,47.25,17.08,95.88,79,52,21732,67376,125,875,34706,10321,0,0,1092,35174,12,0,0,0,0,0,0,0,0,0,0,0,0,430,61.8,32.27,25.71,31.8,17.6,107.25,115.69,93.83,52.71,18.94,4.71,46119,49.14,0,0,54.6,69.41,27.52,0,0,1.25,0
4,,0,0,0,0,8,10,308,117,0,0,0,0,0,0,315,128,1173,,0,0,0,0,0,0,0,10.15,10.21,92.09,48.17,17.04,95.96,94,61,23008,68545,125,875,34393,10692,0,0,1025,34841,8,0,0,0,0,0,0,0,0,0,0,0,0,443,63.2,33.87,26.34,32.4,18.27,104.09,111.67,91.38,52.7,21.22,5.2,46110,50.63,0,0,56.94,68.79,28.51,0,0,1.17,0
5,,0,0,0,0,8,8,319,127,0,0,0,0,0,0,337,145,1268,,0,0,0,0,0,0,0,10.15,10.75,93.64,49.5,16.96,96.15,115,72,24895,73627,125,864,36793,11676,0,0,890,37248,10,0,0,0,0,0,0,0,0,0,0,0,0,462,65.4,36,27.31,33.5,19.07,106.84,115.34,91.94,56.41,23.86,5.68,49359,52.8,0,0,55.63,73.59,31.14,0,0,1.02,0
6,,0,0,0,0,9,12,319,137,0,0,0,0,0,0,337,155,1290,,0,0,0,0,0,0,0,10.15,10.84,100,50.58,17.47,96,119,72,25512,76118,125,875,37449,12672,0,0,1234,37947,13,0,0,0,0,0,0,0,0,0,0,0,0,477,65.6,39.73,28.46,33.7,21.47,107.66,117.39,92.5,58.69,24.19,5.58,51355,54.51,0,0,58.76,74.9,33.79,0,0,1.41,0
7,,0,0,0,0,14,12,362,141,0,0,0,0,0,0,352,158,1350,,0,0,0,0,0,0,0,10.15,10.94,100.31,51.63,17.21,95.9,124,72,26645,83522,125,875,42518,13602,0,0,1466,43272,21,0,0,0,0,0,0,0,0,0,0,0,0,529,75.2,40.8,31.71,39,22,108.86,117.45,96.47,65.81,24.31,5.33,57586,60.46,0,0,56.38,85.04,36.27,0,0,1.68,0
8,,0,0,0,0,12,12,356,152,0,0,0,0,0,0,353,166,1368,,0,0,0,0,0,0,0,10.15,10.93,95.47,52.1,17.07,95.89,123,70,27061,83137,125,875,41543,13996,0,0,1420,42234,14,0,0,0,0,0,0,0,0,0,0,0,0,532,73.6,43.73,31.77,38,23.47,107.07,116.69,92.08,65.1,23.7,5.12,56959,60.8,0,0,59.17,83.09,37.32,0,0,1.62,0
9,,0,0,0,0,9,13,357,129,0,0,0,0,0,0,363,157,1359,,192.59,1300,0,0,0,0,0,10.15,10.43,91.59,52.6,16.98,96.13,136,77,26960,81095,125,875,41789,11915,0,0,1278,42283,10,0,0,0,0,0,0,0,0,0,0,0,0,508,73.2,37.87,30.29,37.5,20.67,108.23,117.06,92.36,62.84,26.15,5.67,54982,58.06,0,0,58.09,83.58,31.77,0,0,1.46,0
10,,0,0,0,0,11,9,376,142,0,0,0,0,0,0,359,162,1368,,0,0,0,0,0,0,0,10.79,10.38,93.63,52.52,16.37,97.8,132,74,28119,86177,125,828,44073,13778,0,0,1237,44732,11,0,0,0,0,0,0,0,0,0,0,0.02,0,538,77.4,40.27,31.89,39.8,21.33,109.83,117.22,97.03,67.53,25.34,5.41,59088,61.49,0,0,61.85,88.15,36.74,0,0,1.41,0
11,,0,0,0,0,12,14,325,142,0,0,0,0,0,0,351,166,1340,,0,0,0,0,0,0,0,10.79,9.5,87.85,51.92,16.49,97.47,140,80,28009,79728,125,875,37375,13867,0,0,1582,38083,9,0,0,0,0,0,0,0,0,0,0,0.02,0,493,67.4,41.6,29.66,34.9,22.67,107.15,115,97.65,60.37,27.08,5.97,52824,56.34,0,0,60.85,74.75,36.98,0,0,1.81,0
12,,0,0,0,0,19,21,437,193,0,0,0,0,0,0,366,215,1619,,185.71,0,577.78,0,0,0,0,10.79,9.69,97.6,51.87,18.51,97.25,161,101,32345,102298,125,875,50344,18757,0,0,2453,51465,16,0,0,0,0,0,0,0,0,0,0,0.02,0,670,91.2,57.07,40.57,47.5,31.33,106.8,115.2,97.19,81.78,27.71,6.24,71554,76.57,0,0,61.33,100.69,50.02,0,0,2.8,0
13,,0,0,0,0,33,35,364,166,0,0,0,0,0,0,359,202,1544,,0,0,0,0,0,0,0,10.79,9.08,88.22,51.41,18.48,96.71,173,112,32102,93457,125,875,42394,16345,0,0,4276,44375,23,0,0,0,0,0,0,0,0,0,0,0.02,0,598,79.4,53.6,38.06,43,31.47,105.38,116.47,98.46,72.02,30.84,7.25,63015,68.34,0,0,62.88,84.79,43.59,0,0,4.89,0
14,,0,0,0,0,36,43,322,170,0,0,0,0,0,0,356,205,1429,,0,0,0,0,0,0,0,10.52,8.78,84.2,51.01,17.75,93.56,174,109,33137,91244,125,840,37983,16776,0,0,4956,40142,17,0,0,0,0,0,0,0,0,0,0,0.03,0,571,71.6,56.8,37.14,39.4,34.13,104.58,117.96,98.68,68.25,31.02,7.63,59715,65.26,0,0,62.73,75.97,44.74,0,0,5.66,0
15,,0,0,0,0,37,40,292,162,0,0,0,0,0,0,361,214,1452,,0,0,0,0,0,0,0,10.52,9.31,93.84,50.48,19.17,93.61,199,128,33764,88218,125,875,34769,16164,0,0,4824,36988,11,0,0,0,0,0,0,0,0,0,0,0.03,0,531,65.8,53.87,34.74,36.6,32.27,105,119.07,99.78,63.72,34.61,8.82,55757,60.69,0,0,62.65,69.54,43.1,0,0,5.51,0
16,,0,0,0,0,33,41,299,172,0,0,0,0,0,0,378,229,1533,,0,0,0,0,0,0,0,10.52,9.63,96.92,50.06,19.4,93.68,216,141,35429,91673,125,875,35946,17067,0,0,4615,37950,13,0,0,0,0,0,0,0,0,0,0,0.03,0,545,66.4,56.8,35.37,36.5,33.87,105.74,120.22,99.23,65.86,35.58,9.2,57628,62.29,0,0,62.36,71.89,45.51,0,0,5.27,0
17,,0,0,0,0,30,34,292,164,0,0,0,0,0,0,371,224,1499,,0,0,0,0,0,0,0,10.52,9.62,99.71,49.81,19.64,93.85,214,143,34412,88569,125,875,35246,16385,0,0,4009,37051,11,0,0,0,0,0,0,0,0,0,0,0.03,0,520,64.4,52.8,33.37,35.2,30.93,107,120.71,99.91,63.59,35.97,9.54,55640,59.43,0,0,62.64,70.49,43.69,0,0,4.58,0
18,,0,0,0,0,24,31,296,155,0,0,0,0,0,0,368,211,1454,,165.45,0,0,472.73,0,0,0,13.63,9.77,92.47,49.45,19.41,94.07,205,138,34042,87442,125,840,35988,15518,0,0,3439,37436,10,0,0,0,0,0,0,0,0,0,0,0.04,0,506,64,49.6,32.06,34.4,28.93,108.59,121.58,100.12,62.79,35.41,9.49,54945,57.83,0,0,62.53,71.98,41.38,0,0,3.93,0
19,,0,0,0,0,24,29,278,157,0,0,0,0,0,0,357,217,1444,,0,0,0,0,0,0,0,13.63,9.36,94.97,49.05,19.75,94.04,213,146,33712,85173,125,875,33905,15790,0,0,3315,35352,19,0,0,0,0,0,0,0,0,0,0,0.04,0,488,60.4,49.6,30.91,32.6,28.67,108.63,121.96,100.57,60.58,37.11,10.11,53010,55.77,0,0,62.55,67.81,42.11,0,0,3.79,0
20,,0,0,0,0,27,32,304,173,0,0,0,0,0,0,401,249,1677,,130,0,0,0,742.86,0,0,13.63,10.58,122.04,48.64,24.2,94.07,242,167,38381,95031,125,875,37103,17404,0,0,3680,38741,16,0,0,0,0,0,0,0,0,0,0,0.04,0,536,66.2,54.67,34,35.8,31.6,108.56,122.05,100.6,66.5,37.23,9.96,58187,61.26,0,0,62.37,74.21,46.41,0,0,4.21,0
21,,0,0,0,0,32,39,325,189,0,0,0,0,0,0,403,265,1745,,0,0,0,0,0,0,0,13.63,11.15,125.73,48.51,24.28,93.87,255,177,39903,101481,125,875,39776,19029,0,0,4425,41711,12,0,0,0,0,0,0,0,0,0,0,0.04,0,585,71.4,60.8,37.49,38.9,35.6,108.09,122.39,100.68,72.26,38.17,10.14,63230,66.86,0,0,62.32,79.55,50.74,0,0,5.06,0
22,,0,0,0,0,35,35,321,183,0,0,0,0,0,0,395,256,1705,,0,0,0,0,0,0,0,13.63,11.54,126.98,48.28,24.37,93.87,245,173,38943,99517,125,875,39330,18427,0,0,4358,41456,17,0,0,0,0,0,0,0,0,0,0,0.04,0,574,71.2,58.13,36.8,39.1,33.73,108.21,122.52,100.69,70.99,37.63,10.15,62115,65.6,0,0,62.26,78.66,49.14,0,0,4.98,0
23,,0,0,0,0,34,38,356,206,0,0,0,0,0,0,402,278,1797,,0,0,0,0,0,0,0,13.63,12.2,127.42,48.28,24.12,93.89,257,181,42177,109447,125,840,43765,20756,0,0,4462,45854,14,0,0,0,0,0,0,0,0,0,0,0.05,0,634,78,65.07,40.34,42.4,37.6,108.81,122.94,100.76,78.84,37.79,10.07,68983,72.46,0,0,61.97,87.53,55.35,0,0,5.1,0
24,,0,0,0,0,56,69,399,226,0,0,0,0,15,0,391,287,1889,,130,0,433.33,0,0,0,0,13.63,12.44,129.57,48.68,23.75,93.3,278,197,44616,122649,125,875,49097,22770,0,0,7801,52482,18,0,0,0,0,0,0,0,0,0,0,0.05,0,750,91,78.67,50,51.1,48.53,106.22,123.05,100.75,91.05,41,10.43,79668,85.71,0,0,62.41,98.19,60.72,0,0,8.92,0
25,,0,0,0,0,62,79,418,254,0,0,0,0,18,32,392,283,1981,,0,0,0,0,0,0,0,13.63,12.85,124.9,48.68,23.53,93.1,291,207,46250,131187,125,875,51435,25654,0,0,8793,55190,23,0,0,0,0,0,0,0,0,0,0,0.05,0,813,96,88.8,54.51,54.2,54.93,105.64,123.05,101,98.15,43.11,10.45,85882,92.91,0,0,62.36,102.87,68.41,0,0,10.05,0
26,,0,0,0,0,72,84,421,263,0,0,0,0,27,25,385,280,1986,,0,0,0,0,0,0,0,13.63,12.72,120.06,48.8,23.42,92.9,296,214,46370,133308,125,875,51804,26563,0,0,9736,56155,15,0,0,0,0,0,0,0,0,0,0,0.05,0,840,98.6,92.53,56.91,56.5,57.47,104.88,123.05,101,100.69,44.51,10.78,88103,96,0,0,62.41,103.61,70.83,0,0,11.13,0
27,,0,0,0,0,92,117,384,233,0,0,0,0,41,39,374,216,1603,,126.83,0,0,371.43,0,0,0,13.59,12.84,121.29,48.91,23.17,91.5,274,193,44666,127845,125,840,47228,23298,0,0,13051,52784,15,0,0,0,0,0,0,0,0,0,0,0.06,0,826,95.2,93.33,59.14,56.8,62.27,101.18,122.99,99.99,95.52,46.44,12.04,83577,94.4,0,0,62.44,94.46,62.13,0,0,14.92,0
28,,0,0,0,0,121,135,379,240,0,0,0,0,59,56,355,180,1590,,0,0,0,0,0,0,0,13.59,11.92,125.89,49.16,23.74,91.01,266,206,44442,131363,125,875,46748,23966,0,0,15983,54083,13,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,64.63,62.1,68,99.08,123.35,99.86,99.08,49.72,12.96,86697,100,0,0,62.43,93.5,63.91,0,0,18.27,0
29,,0,0,0,0,132,150,368,225,0,0,0,0,68,72,336,150,1541,,0,0,0,0,0,0,0,13.59,11.98,121.94,49.29,23.58,90.72,243,211,43407,129489,125,875,45411,22433,0,0,17551,53408,22,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,66.11,63.2,70,97.59,123.4,99.7,97.59,50,13.69,85395,100,0,0,62.24,90.82,59.82,0,0,20.06,0
30,,0,0,0,0,142,150,358,225,0,0,0,0,91,81,316,150,1577,,0,0,0,0,0,0,0,13.59,11.44,119.69,49.2,23.99,90.63,233,231,43735,130214,125,875,44190,22399,0,0,18212,52762,15,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,66.69,64.2,70,96.92,123.44,99.55,96.92,50,14.65,84801,100,0,0,62.37,88.38,59.73,0,0,20.81,0
31,,0,0,13,7,153,125,334,243,0,0,0,0,107,98,268,186,1610,,0,0,0,0,0,0,0,12.8,9.73,118.53,48.79,23.46,88.01,227,238,44843,134425,125,875,41275,24639,0,1331,17371,51396,19,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,65.89,65.3,66.67,96.7,123.58,101.4,96.7,50,14.78,84616,100,0,66.55,62.49,82.55,65.7,0,1.52,19.85,0
32,,0,0,19,9,169,112,312,254,0,0,0,0,119,109,224,208,1612,,0,0,0,0,0,0,0,12.8,9.44,126.04,48.68,23.61,87.9,216,244,44923,135180,125,875,39245,26074,0,1870,17551,50760,24,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,66.06,66.9,64.93,96.85,125.79,102.65,96.85,50,15.14,84740,100,0,66.79,62.46,78.49,69.53,0,2.14,20.06,0
33,,0,0,19,11,180,112,301,252,0,0,0,0,132,130,202,204,1620,,101.96,0,288.89,0,0,0,0,12.8,8.84,130.69,48.49,23.65,87.75,203,252,45096,135721,125,875,37833,25964,0,1993,18238,49984,13,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,66.69,68,64.93,96.03,125.69,103.03,96.03,50,15.56,84028,100,0,66.43,62.46,75.67,69.24,0,2.28,20.84,0
34,,0,0,19,9,161,112,320,254,0,0,0,0,156,146,240,208,1741,,0,0,0,0,0,0,0,12.8,8.8,131.72,48.03,23.87,88.06,224,259,48090,141578,125,875,40754,26258,0,1870,17033,51834,21,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,65.6,66.1,64.93,98.19,127.36,103.38,98.19,50,14.88,85915,100,0,66.79,62.39,81.51,70.02,0,2.14,19.47,0
35,,0,0,20,10,137,112,343,253,0,0,0,0,161,149,286,206,1821,,0,0,0,0,0,0,0,12.8,9.12,133.48,47.85,24.06,88.41,246,257,50060,144703,125,875,42831,26287,0,2001,15582,52450,20,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,64.23,63.7,64.93,99.09,124.87,103.9,99.09,50,14.11,86701,100,0,66.7,62.58,85.66,70.1,0,2.29,17.81,0
36,,0,0,20,12,146,112,334,251,0,0,0,0,156,154,268,202,1770,,203.92,0,0,346.67,577.78,0,0,0,9.14,136.79,47.71,23.93,88.33,235,246,49138,144312,125,875,42876,26107,0,2125,16134,53057,22,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,64.74,64.6,64.93,99.71,128.37,104.01,99.71,50,13.9,87242,100,0,66.41,62.53,85.75,69.62,0,2.43,18.44,0
37,,0,0,31,16,146,112,323,247,0,0,0,0,150,141,246,194,1684,,0,0,0,0,0,0,0,0,9.62,140.66,47.43,23.87,88.35,220,226,47324,141549,125,875,41487,25755,0,3132,16138,52425,19,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,64.74,64.6,64.93,98.87,128.44,104.27,98.87,50,13.42,86512,100,0,66.64,62.55,82.97,68.68,0,3.58,18.44,0
38,,0,0,45,26,120,112,335,237,0,0,0,0,149,139,270,174,1700,,0,0,0,0,0,0,0,0,9.27,145.86,47.04,24.1,88.81,222,232,47484,142542,125,875,43104,24783,0,4719,14520,53405,24,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,63.26,62,64.93,99.57,128.67,104.57,99.57,50,13.65,87126,100,0,66.46,62.59,86.21,66.09,0,5.39,16.59,0
39,,0,0,60,29,137,112,303,234,0,0,0,0,124,121,206,168,1521,,0,0,0,0,0,0,0,0,9.29,151.82,46.8,23.92,88.59,187,219,43711,136149,125,875,39248,24522,0,5941,15578,51628,20,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,64.23,63.7,64.93,97.47,129.53,104.79,97.47,50,14.4,85289,100,0,66.75,62.56,78.5,65.39,0,6.79,17.8,0
40,,0,0,59,29,99,112,342,234,0,0,0,0,93,92,284,168,1542,,203.92,1040,288.89,0,0,0,0,0,10.43,143.57,46.9,23.56,86.43,226,190,45021,139465,125,875,43830,24850,0,6213,13597,54254,16,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,62.06,59.9,64.93,101.13,128.16,106.2,101.13,50,12.32,88490,100,0,70.6,64.44,87.66,66.27,0,7.1,15.54,0
41,,0,0,72,39,69,81,359,255,0,0,0,0,83,74,318,210,1639,,0,0,0,0,0,0,0,0,11.74,145.6,47,23.65,87.6,264,191,47379,144789,125,875,46007,27495,0,8064,9886,55862,20,0,0,0,0,0,0,0,0,0,0,0.06,0,875,100,100,58.57,56.9,60.8,104.52,128.15,107.82,104.52,50,11.65,91452,100,0,72.65,65.91,92.01,73.32,0,9.22,11.3,0
42,,0,0,88,46,57,65,355,262,0,0,0,0,70,67,310,228,1643,,0,0,0,0,0,0,0,0,11.62,147.95,47.01,23.57,88.17,269,201,47344,144909,125,875,45214,28415,0,9924,8113,55602,14,0,0,0,0,0,0,0,0,0,0,0.06,0,873,100,99.47,56.86,55.7,58.4,105,127.36,108.45,104.76,50,12.23,91666,99.77,0,74.06,66.5,90.43,75.77,0,11.34,9.27,0
43,,0,0,96,51,52,58,352,263,0,0,0,0,63,63,304,232,1656,,0,0,0,0,0,0,0,0,11.09,150.49,47.24,23.49,88.45,268,222,47277,145545,125,875,45454,28605,0,11112,7431,56345,11,0,0,0,0,0,0,0,0,0,0,0.06,0,872,100,99.2,56.11,55.2,57.33,106.19,129.13,108.76,105.83,50,13.41,92602,99.66,0,75.59,67.55,90.91,76.28,0,12.7,8.49,0
44,,0,0,100,48,26,30,283,194,0,0,0,0,34,30,299,255,1469,,0,0,0,0,0,0,0,0,10.54,137.16,46.8,21.42,90.04,236,181,43732,120395,125,716,35887,21142,0,11684,3796,45716,21,0,0,0,0,0,0,0,0,0,0,0.35,0,681,81.8,72.53,42.11,43.5,40.27,106.47,126.81,108.98,82.87,42.6,12.32,72509,77.83,0,78.95,67.79,71.77,56.38,0,13.35,4.34,0
45,,0,0,116,50,14,12,370,179,0,0,0,0,18,0,319,279,1666,,101.96,0,0,346.67,0,0,0,0,12.75,178.06,47.04,26.98,91.05,281,220,45641,130961,125,875,46989,19526,0,13315,1782,57462,24,0,0,0,0,0,0,0,0,0,0,0.43,0,741,100,64.27,43.83,51.4,33.73,110.14,127,109.08,93.27,46.99,13.21,81612,84.69,0,80.21,68.54,93.98,52.07,0,15.22,2.04,0
46,,0,0,101,56,12,17,376,191,0,0,0,0,17,33,336,284,1752,,0,0,0,0,0,0,0,0,13.54,179.54,46.82,27.71,90.84,281,218,47753,136287,125,875,48542,20877,0,12806,1988,57871,17,0,0,0,0,0,0,0,0,0,0,0.43,0,753,97.8,70.4,44.69,50.1,37.47,111.84,129.1,109.3,96.24,45.32,12.44,84213,86.06,0,81.57,68.55,97.08,55.67,0,14.64,2.27,0
47,,0,0,120,61,11,14,369,197,0,0,0,0,20,0,421,315,1924,,0,0,0,0,0,0,0,0,13.45,187.02,46.24,29.9,91.27,325,216,54231,144206,125,875,47723,21566,0,14876,1713,58620,12,0,0,0,0,0,0,0,0,0,0,0.43,0,772,100,72.53,45.54,51.1,38.13,111.24,129.33,109.47,98.15,44.16,11.23,85878,88.23,0,82.19,68.52,95.45,57.51,0,17,1.96,0
48,,0,0,116,61,15,18,369,216,0,0,0,0,20,36,422,328,2001,,101.96,0,288.89,0,0,0,0,0,13.81,182.81,46.13,29.71,90.94,326,215,56388,149797,125,875,47880,23671,0,14646,2267,58782,14,0,0,0,0,0,0,0,0,0,0,0.43,0,795,100,78.67,47.31,51.5,41.73,111.28,129.76,109.59,101.1,43.47,10.74,88464,90.86,0,82.75,68.7,95.76,63.12,0,16.74,2.59,0
49,,0,0,75,51,12,24,253,180,0,0,0,0,28,27,408,293,1790,,0,0,0,0,0,0,0,0,10.46,164.46,45.6,29.77,90.68,310,202,50770,119614,125,595,32130,19780,0,10417,2486,39349,14,0,0,0,0,0,0,0,0,0,0,0.43,0,595,68,68,36.06,35.2,37.2,108.93,127,109.89,74.07,44.22,11.28,64813,68,0,82.67,69.06,64.26,52.75,0,11.91,2.84,0
50,,0,0,72,37,29,31,239,187,0,0,0,0,35,30,365,269,1649,,0,0,0,0,0,0,0,0,10.71,174.62,45.49,30.27,89.76,257,167,47346,115971,125,595,30875,20570,0,9146,4139,39023,8,0,0,0,0,0,0,0,0,0,0,0.56,0,595,68,68,37.43,36.9,38.13,108.79,129.18,110,73.98,40.54,10.13,64730,68,0,83.91,68.98,61.75,54.85,0,10.45,4.73,0
51,,0,0,30,16,101,112,369,247,0,0,0,0,132,123,450,314,2300,,0,0,0,0,0,0,0,0,12.32,169.17,45.73,30.84,86.93,358,244,65002,166520,125,875,47860,27170,0,3872,14647,57224,20,0,0,0,0,0,0,0,0,0,0,0.56,0,875,100,100,62.17,60.1,64.93,106.91,129.7,110,106.91,46.86,10.61,93549,100,0,84.17,68.77,95.72,72.45,0,4.43,16.74,0
52,,0,0,18,8,107,112,375,255,0,0,0,0,137,133,429,319,2253,,101.96,0,0,0,577.78,0,0,0,15.19,164.02,45.63,30.63,86.53,328,209,63790,164856,125,875,47437,28050,0,2192,15027,56237,21,0,0,0,0,0,0,0,0,0,0,0.56,0,875,100,100,62.51,60.7,64.93,105.95,126.5,110,105.95,43.85,9.28,92706,100,0,84.31,68.62,94.87,74.8,0,2.51,17.17,0
53,,0,0,44,18,27,30,328,169,0,0,0,0,31,37,384,205,1474,,0,0,0,0,0,0,0,0,16.52,168.77,44.96,28.41,93.91,165,104,42244,113011,125,875,40531,17800,0,5156,3927,46040,15,0,0,0,0,0,0,0,0,0,0,0.63,0,616,79.8,57.87,38.46,42.6,32.93,109.44,123.57,105.33,77.04,28.01,7.06,67414,70.4,0,83.16,68.89,81.06,47.47,0,5.89,4.49,0
54,,0,0,56,30,20,20,424,230,0,0,0,0,17,19,373,233,1553,,101.96,0,0,346.67,0,0,0,0,14.98,199.01,44.77,30.41,94.55,131,81,43085,131949,125,875,51913,23840,0,7033,2744,57926,20,0,0,0,0,0,0,0,0,0,0,0.7,0,780,100,74.67,46.86,52,40,109.65,122.44,103.65,97.75,21.62,5.22,85530,89.14,0,81.78,68.6,103.83,63.57,0,8.04,3.14,0
55,,0,0,69,30,14,18,417,226,0,0,0,0,14,0,381,247,1590,,0,0,0,0,0,0,0,0,14.72,203.42,44.39,31.37,94.8,160,98,44036,130525,125,875,50042,23160,0,8054,2184,56745,19,0,0,0,0,0,0,0,0,0,0,0.7,0,774,100,73.07,46.06,51.4,38.93,107.8,120,102.48,95.36,25.48,6.16,83440,88.46,0,81.35,68.25,100.08,61.76,0,9.2,2.5,0
56,,0,0,78,45,14,18,408,262,0,0,0,0,0,38,388,288,1746,,101.96,0,288.89,0,0,0,0,0,15.21,199.13,44.41,31.14,94.67,190,116,48633,140031,125,875,48649,26760,0,9907,2198,56040,14,0,0,0,0,0,0,0,0,0,0,0.7,0,825,100,86.67,48.97,51.4,45.73,106.08,119.24,102.14,100.02,28.11,6.64,87514,94.29,0,80.54,68.69,97.3,71.36,0,11.32,2.51,0
57,,0,0,104,57,12,15,384,250,0,0,0,0,33,24,357,264,1708,,0,0,0,0,0,0,0,3.29,14.5,206.04,44.65,28.25,94.8,176,142,47742,137812,125,875,45024,25220,0,12924,1857,54405,20,0,0,0,0,0,0,0,0,0,0,0.77,0,822,100,85.87,48.51,51.2,44.93,103.44,117.25,100.88,97.17,28.34,8.31,85025,93.94,0,80.27,68.78,90.05,67.25,0,14.77,2.12,0
58,,0,0,123,62,17,20,360,250,0,0,0,0,23,25,380,324,1846,,0,0,0,0,0,0,0,3.29,14.03,213.68,44.64,31.88,94.73,266,146,53426,143759,125,875,42770,25180,0,14818,2547,54025,12,0,0,0,0,0,0,0,0,0,0,0.83,0,832,100,88.53,49.66,51.7,46.93,102.54,118.81,100.72,97.5,37.78,7.91,85315,95.09,0,80.1,68.84,85.54,67.15,0,16.93,2.91,0
